shop,kana,image,lat,long,star
つけめん高木や,takagiya,1.jpg,35.7059,139.7196,6
旨辛ラーメン表裏,hyori,2.jpg,35.7131,139.7074,7
蒙古タンメン中本,nakamoto,3.jpg,35.7128,139.7051,5
武道家,budouka,5.jpg,35.7062,139.7197,114514
東京麺珍亭本舗,menchin,6.jpg,35.7081,139.7173,5
麺爺あぶら,menjii,7.jpg,35.7067,139.7206,2
らーめん七福家,shichifukuya,8.jpg,35.7064,139.7203,5
紅蓮,guren,10.jpg,35.7083,139.7219,7
野郎ラーメン,yaroramen,11.jpg,35.7137,139.7035,7
俺の空,orenosora,14.jpg,35.7113,139.703,7
らあ麺やったる,yattaru,15.jpg,35.7136,139.7055,8
我羅奢,garasha,17.jpg,35.7105,139.7099,7
麺屋こころ,kokoro,18.jpg,35.7106,139.7099,4
麺屋はなび,hanabi,19.jpg,35.7034,139.7076,4
ラーメン賀丸屋,gamaruya,21.jpg,35.7087,139.7094,6
武蔵野アブラ學会,gakkai,27.jpg,35.7115,139.7195,6
とんこつラーメン博多風龍,fuuryuu,28.jpg,35.7138,139.7044,5
野方ホープ,nogatahope,29.jpg,35.7127,139.7065,5
三ツ矢堂製麺,mitsuyadou,30.jpg,35.7117,139.7098,4
鷹虎,takatora,32.jpg,35.7139,139.7044,7
天下一品,tenkaippin,34.jpg,35.7112,139.7115,7
鶏そば 三歩一,sanpoichi,35.jpg,35.7133,139.7063,6
末廣ラーメン本舗,suehiro,36.jpg,35.7119,139.7086,8
焼麺 劔,tsurugi,37.jpg,35.7135,139.7091,6
麺屋 宗,sou,38.jpg,35.7111,139.7097,7
